Mois,Région,Rayonnement solaire global (W/m2),Vitesse du vent à 100m (m/s)
2018-08,Bretagne,227.0592361111111,5.535520833333334
2018-08,Centre-Val de Loire,239.48993055555553,4.719340277777778
2018-08,Corse,268.2311846689894,3.2947735191637615
2018-08,Grand-Est,231.68909722222224,4.257048611111112
2018-08,Hauts-de-France,221.87996527777773,5.3476041666666685
2018-08,Ile-de-France,229.31048611111115,4.843958333333337
2018-08,Normandie,225.70548611111104,5.33579861111111
2018-08,Nouvelle-Aquitaine,253.2141666666667,4.258715277777773
2018-08,Occitanie,253.18482638888887,4.9581944444444455
2018-08,Pays de la Loire,246.1792708333333,5.261805555555553
2018-08,Provence-Alpes-Côte d'Azur,259.1909375,4.285034722222222
2018-09,Auvergne-Rhône-Alpes,198.51270833333334,3.3664583333333336
2018-09,Bourgogne-Franche-Comté,186.64920833333332,4.215666666666666
2018-09,Bretagne,171.9015416666667,6.323791666666666
2018-09,Centre-Val de Loire,184.17083333333315,5.137958333333335
2018-09,Corse,205.57587500000005,3.6424583333333342
2018-09,Grand-Est,175.51312499999997,4.368291666666667
2018-09,Hauts-de-France,162.17837499999996,5.775499999999999
2018-09,Ile-de-France,174.76591666666667,5.136583333333336
2018-09,Normandie,168.362125,5.985999999999996
2018-09,Nouvelle-Aquitaine,201.7247083333331,4.235708333333332
2018-09,Occitanie,204.97008333333332,4.580208333333331
2018-09,Pays de la Loire,187.28900000000004,5.925541666666669
2018-09,Provence-Alpes-Côte d'Azur,207.91250000000005,4.525999999999999
2018-10,Auvergne-Rhône-Alpes,120.87931726907625,3.978112449799196
2018-10,Bourgogne-Franche-Comté,110.80208835341358,4.787590361445779
2018-10,Bretagne,106.75855421686742,7.127550200803207
2018-10,Centre-Val de Loire,111.26859437751003,5.907991967871491
2018-10,Corse,133.69983935742965,4.826224899598395
2018-10,Grand-Est,103.68907630522091,5.060602409638554
2018-10,Hauts-de-France,98.49052208835339,6.334658634538151
2018-10,Ile-de-France,101.22811244979921,5.939277108433735
2018-10,Normandie,101.2745381526104,6.685421686746991
2018-10,Nouvelle-Aquitaine,120.60144578313249,5.164096385542169
2018-10,Occitanie,120.3838955823292,6.2075100401606464
2018-10,Pays de la Loire,111.43228915662648,6.628313253012047
2018-10,Provence-Alpes-Côte d'Azur,125.39349397590355,6.288112449799199
2018-11,Auvergne-Rhône-Alpes,67.3267916666667,3.3917499999999996
