Mois,Région,Production solaire (GWh),Production éolienne (GWh)
2015-12,Pays de la Loire,13.375228,150.038094
2015-12,Provence-Alpes-Côte d'Azur,41.055969,3.51542
2015-12,Île-de-France,1.98276,7.185513
2016-01,Auvergne-Rhône-Alpes,26.417774,85.026207
2016-01,Bourgogne-Franche-Comté,6.30464,104.167958
2016-01,Bretagne,5.362512,227.768989
2016-01,Centre-Val de Loire,7.040643,262.374714
2016-01,Corse,8.179735,4.149853
2016-01,Grand Est,15.130482,729.902964
2016-01,Hauts-de-France,5.59614,746.281139
2016-01,Normandie,3.419649,186.697038
2016-01,Nouvelle-Aquitaine,75.084635,128.291777
2016-01,Occitanie,58.802617,187.14965
2016-01,Pays de la Loire,13.069424,173.687664
2016-01,Provence-Alpes-Côte d'Azur,49.827121,5.997627
2016-01,Île-de-France,1.823699,9.028173
2016-02,Auvergne-Rhône-Alpes,33.27653,90.363148
2016-02,Bourgogne-Franche-Comté,7.65619,111.04672
2016-02,Bretagne,9.640264,200.313391
2016-02,Centre-Val de Loire,11.707917,275.350604
2016-02,Corse,8.225023,4.321958
2016-02,Grand Est,19.529274,804.613005
2016-02,Hauts-de-France,7.422182,685.662463
2016-02,Normandie,6.034908,159.978815
2016-02,Nouvelle-Aquitaine,116.805294,125.600846
2016-02,Occitanie,92.138925,257.555855
2016-02,Pays de la Loire,23.337292,164.631573
2016-02,Provence-Alpes-Côte d'Azur,70.719905,11.122065
2016-02,Île-de-France,3.282121,9.330731
2016-03,Auvergne-Rhône-Alpes,63.49225,90.134573
2016-03,Bourgogne-Franche-Comté,17.366192,91.299985
2016-03,Bretagne,16.420825,190.003759
2016-03,Centre-Val de Loire,19.840553,228.334703
2016-03,Corse,12.299278,1.872103
2016-03,Grand Est,37.636237,628.189086
2016-03,Hauts-de-France,11.650505,554.542804
2016-03,Normandie,9.896874,125.351443
2016-03,Nouvelle-Aquitaine,193.0168,123.265315
2016-03,Occitanie,142.678029,234.340407
2016-03,Pays de la Loire,36.866791,166.157104
2016-03,Provence-Alpes-Côte d'Azur,108.948041,11.889273
2016-03,Île-de-France,5.233893,8.301748
2016-04,Auvergne-Rhône-Alpes,75.503668,84.499596
2016-04,Bourgogne-Franche-Comté,19.749758,52.252866
2016-04,Bretagne,20.004214,117.263369
2016-04,Centre-Val de Loire,24.042223,129.406593
2016-04,Corse,15.01286,4.69402
2016-04,Grand Est,47.378094,381.331448
2016-04,Hauts-de-France,14.948437,382.836578
2016-04,Normandie,13.005896,89.323408
2016-04,Nouvelle-Aquitaine,215.732574,60.168195
2016-04,Occitanie,173.256507,251.865179
2016-04,Pays de la Loire,43.250409,99.271114
2016-04,Provence-Alpes-Côte d'Azur,126.435897,12.518407
2016-04,Île-de-France,7.529856,4.793005
2016-05,Auvergne-Rhône-Alpes,90.503521,96.876824
2016-05,Bourgogne-Franche-Comté,23.467883,62.179599
2016-05,Bretagne,23.414091,85.642142
2016-05,Centre-Val de Loire,26.388168,123.472528
2016-05,Corse,17.488332,3.477742
2016-05,Grand Est,57.460646,319.621806
2016-05,Hauts-de-France,17.277712,311.950317
2016-05,Normandie,14.955169,70.242807
2016-05,Nouvelle-Aquitaine,251.000407,67.840813
2016-05,Occitanie,202.42421,300.020903
2016-05,Pays de la Loire,49.077164,83.202676
2016-05,Provence-Alpes-Côte d'Azur,150.285053,13.211478
2016-05,Île-de-France,7.656642,4.199548
2016-06,Auvergne-Rhône-Alpes,94.172003,45.723221
2016-06,Bourgogne-Franche-Comté,23.209536,36.942897
2016-06,Bretagne,18.674556,63.338079
2016-06,Centre-Val de Loire,24.512031,86.82536
2016-06,Corse,16.658071,1.751922
2016-06,Grand Est,54.279437,214.113706
2016-06,Hauts-de-France,14.453517,253.331966
2016-06,Normandie,12.585468,56.701129
2016-06,Nouvelle-Aquitaine,237.475297,46.197898
2016-06,Occitanie,208.72229,194.348959
2016-06,Pays de la Loire,43.728862,62.210711
2016-06,Provence-Alpes-Côte d'Azur,154.101043,6.84727
2016-06,Île-de-France,7.252504,2.831305
2016-07,Auvergne-Rhône-Alpes,107.062082,53.835695
2016-07,Bourgogne-Franche-Comté,29.775588,28.51298
2016-07,Bretagne,24.769599,64.922737
2016-07,Centre-Val de Loire,33.205444,86.923292
2016-07,Corse,20.445734,1.827413
2016-07,Grand Est,65.959014,187.93171
2016-07,Hauts-de-France,18.467729,243.482743
2016-07,Normandie,16.803848,54.255251
2016-07,Nouvelle-Aquitaine,287.939026,41.607312
2016-07,Occitanie,230.999303,186.308481
2016-07,Pays de la Loire,57.164539,57.095422
2016-07,Provence-Alpes-Côte d'Azur,166.609175,8.335497
2016-07,Île-de-France,9.637277,2.742614
2016-08,Auvergne-Rhône-Alpes,107.358856,50.825308
2016-08,Bourgogne-Franche-Comté,29.456229,32.583241
2016-08,Bretagne,24.993717,88.880912
2016-08,Centre-Val de Loire,33.178528,96.034682
2016-08,Corse,16.909553,2.32284
2016-08,Grand Est,64.346546,216.457238
2016-08,Hauts-de-France,17.639021,315.998217
2016-08,Normandie,16.155971,74.457411
2016-08,Nouvelle-Aquitaine,290.207426,40.952515
2016-08,Occitanie,232.521138,187.981662
2016-08,Pays de la Loire,57.602992,70.290095
2016-08,Provence-Alpes-Côte d'Azur,161.173116,7.545026
2016-08,Île-de-France,9.140944,3.403228
2016-09,Auvergne-Rhône-Alpes,81.15212,50.563349
2016-09,Bourgogne-Franche-Comté,22.409673,36.60767
2016-09,Bretagne,17.659847,75.558904
2016-09,Centre-Val de Loire,23.582417,66.937475
2016-09,Corse,14.83154,1.363669
2016-09,Grand Est,51.261252,196.245876
2016-09,Hauts-de-France,13.885355,237.458035
2016-09,Normandie,10.928775,60.875939
